file_offset,va,pointer_matches,text
0x540075,0x940c75,,System.Bindings.EvalSys
0x5400c9,0x940cc9,,System.Bindings.EvalSys
0x54011d,0x940d1d,,System.Bindings.EvalSys
0x540171,0x940d71,,System.Bindings.EvalSys
0x5401c5,0x940dc5,,System.Bindings.EvalSys
0x540219,0x940e19,,System.Bindings.EvalSys
0x54026d,0x940e6d,,System.Bindings.EvalSys
0x54083e,0x94143e,,System.Bindings.EvalSys
0x54550e,0x94610e,,System.Bindings.CustomScope
0x5457ad,0x9463ad,,System.Bindings.CustomScope
0x545b04,0x946704,, System.Bindings.NotifierDefaults
0x545d04,0x946904,, System.Bindings.NotifierDefaults
0x54681e,0x94741e,,System.Bindings.Graph
0x546841,0x947441,,"CTPair<System.Bindings.Expression.TBindingExpression,System.Integer>"
0x5468fd,0x9474fd,,"gTArray<System.Generics.Collections.TPair<System.Bindings.Expression.TBindingExpression,System.Integer>>"
0x5469f2,0x9475f2,0x9475a4,"lTEnumerator<System.Generics.Collections.TPair<System.Bindings.Expression.TBindingExpression,System.Integer>>("
0x546a8d,0x94768d,,"lTEnumerator<System.Generics.Collections.TPair<System.Bindings.Expression.TBindingExpression,System.Integer>>"
0x546bd2,0x9477d2,0x947774,"lTEnumerable<System.Generics.Collections.TPair<System.Bindings.Expression.TBindingExpression,System.Integer>>'"
0x546ccd,0x9478cd,,"lTEnumerable<System.Generics.Collections.TPair<System.Bindings.Expression.TBindingExpression,System.Integer>>"
0x546d6d,0x94796d,,"OTDictionary<System.Bindings.Expression.TBindingExpression,System.Integer>.TItem"
0x546e09,0x947a09,,"TTDictionary<System.Bindings.Expression.TBindingExpression,System.Integer>.TItemArray"
0x546e95,0x947a95,,@IEqualityComparer<System.Bindings.Expression.TBindingExpression>
0x546f11,0x947b11,,ETCollectionNotifyEvent<System.Bindings.Expression.TBindingExpression>
0x546fe9,0x947be9,,5TArray<System.Bindings.Expression.TBindingExpression>
0x5470aa,0x947caa,0x947c5c,:TEnumerator<System.Bindings.Expression.TBindingExpression>(
0x547115,0x947d15,,:TEnumerator<System.Bindings.Expression.TBindingExpression>
0x547226,0x947e26,0x947dc8,:TEnumerable<System.Bindings.Expression.TBindingExpression>'
0x5472ed,0x947eed,,:TEnumerable<System.Bindings.Expression.TBindingExpression>
0x5473ff,0x947fff,0x947f78,"XTDictionary<System.Bindings.Expression.TBindingExpression,System.Integer>.TKeyEnumerator;"
0x5474c1,0x9480c1,,"XTDictionary<System.Bindings.Expression.TBindingExpression,System.Integer>.TKeyEnumerator"
0x54761b,0x94821b,0x948194,"XTDictionary<System.Bindings.Expression.TBindingExpression,System.Integer>.TKeyCollection;"
0x547715,0x948315,,"XTDictionary<System.Bindings.Expression.TBindingExpression,System.Integer>.TKeyCollection"
0x54786b,0x94846b,0x9483e4,"ZTDictionary<System.Bindings.Expression.TBindingExpression,System.Integer>.TValueEnumerator;"
0x547931,0x948531,,"ZTDictionary<System.Bindings.Expression.TBindingExpression,System.Integer>.TValueEnumerator"
0x547a8b,0x94868b,0x6189f3;0x63a7a2;0x64277b;0x684afa;0x6ad641;0x6ad668;0x6ad679;0x6ad738;0x6ad749;0x7590b4;0x7b0253;0x7e3c17,"ZTDictionary<System.Bindings.Expression.TBindingExpression,System.Integer>.TValueCollection;"
0x547b85,0x948785,,"ZTDictionary<System.Bindings.Expression.TBindingExpression,System.Integer>.TValueCollection<"
0x547cdf,0x9488df,0x948858,"YTDictionary<System.Bindings.Expression.TBindingExpression,System.Integer>.TPairEnumerator;"
0x547da1,0x9489a1,,"YTDictionary<System.Bindings.Expression.TBindingExpression,System.Integer>.TPairEnumerator"
0x548058,0x948c58,0x948a74,"ITDictionary<System.Bindings.Expression.TBindingExpression,System.Integer>&"
0x5485d9,0x9491d9,,"ITDictionary<System.Bindings.Expression.TBindingExpression,System.Integer>"
0x54c51d,0x94d11d,,"ATPair<System.Bindings.Expression.TBindingExpression,System.Int64>"
0x54c5d5,0x94d1d5,,"eTArray<System.Generics.Collections.TPair<System.Bindings.Expression.TBindingExpression,System.Int64>>"
0x54c6c6,0x94d2c6,0x94d278,"jTEnumerator<System.Generics.Collections.TPair<System.Bindings.Expression.TBindingExpression,System.Int64>>("
0x54c761,0x94d361,,"jTEnumerator<System.Generics.Collections.TPair<System.Bindings.Expression.TBindingExpression,System.Int64>>"
0x54c8a2,0x94d4a2,0x94d444,"jTEnumerable<System.Generics.Collections.TPair<System.Bindings.Expression.TBindingExpression,System.Int64>>'"
0x54c999,0x94d599,,"jTEnumerable<System.Generics.Collections.TPair<System.Bindings.Expression.TBindingExpression,System.Int64>>|"
0x54ca39,0x94d639,,"MTDictionary<System.Bindings.Expression.TBindingExpression,System.Int64>.TItem"
0x54cad1,0x94d6d1,,"RTDictionary<System.Bindings.Expression.TBindingExpression,System.Int64>.TItemArray"
0x54cbff,0x94d7ff,0x94d778,"VTDictionary<System.Bindings.Expression.TBindingExpression,System.Int64>.TKeyEnumerator;"
0x54ccc1,0x94d8c1,,"VTDictionary<System.Bindings.Expression.TBindingExpression,System.Int64>.TKeyEnumerator"
